Series	Platform
GSE7946	GPL1266
GSE7946	GPL2641
GSE8779	GPL3320
GSE8779	GPL3334
GSE8779	GPL3523
GSE8634	GPL5685
GSE60907	GPL3718
GSE51640	GPL6983
GSE50666	GPL8882
GSE69632	GPL16131
GSE69632	GPL18637
GSE58579	GPL6801
GSE53070	GPL10123
GSE66157	GPL8882
GSE66157	GPL8887
GSE66157	GPL8888
GSE18333	GPL6801
GSE60733	GPL11157
GSE60733	GPL16131
GSE15187	GPL2004
GSE15187	GPL2005
GSE15187	GPL3718
GSE17094	GPL6986
GSE41238	GPL13135
GSE41238	GPL16110
GSE7180	GPL4896
GSE17746	GPL9064
GSE17746	GPL9065
GSE17746	GPL9066
GSE17746	GPL9067
GSE17746	GPL9068
GSE17746	GPL9069
GSE17746	GPL9070
GSE17746	GPL9071
GSE17746	GPL9072
GSE17746	GPL9073
GSE65175	GPL8841
GSE9887	GPL2826
GSE59537	GPL16131
GSE48610	GPL13611
GSE11977	GPL6981
GSE4176	GPL96
GSE4176	GPL97
GSE4176	GPL1266
GSE17124	GPL8855
GSE69084	GPL10123
GSE49602	GPL6801
GSE59678	GPL3718
GSE7077	GPL2879
GSE51074	GPL3718
GSE51074	GPL3720
GSE14322	GPL4093
GSE5781	GPL3749
GSE50750	GPL9128
GSE7581	GPL3382
GSE7581	GPL3383
GSE12958	GPL5477
GSE51711	GPL6801
GSE16604	GPL8581
GSE6472	GPL2879
GSE44275	GPL10123
GSE9307	GPL2004
GSE9307	GPL6083
GSE7602	GPL2879
GSE16896	GPL6984
GSE44994	GPL3718
GSE8591	GPL5672
GSE77995	GPL16131
GSE11036	GPL2005
GSE55520	GPL13829
GSE50441	GPL6801
GSE12830	GPL4091
GSE12830	GPL9128
GSE71395	GPL10150
GSE17429	GPL3720
GSE41536	GPL3718
GSE42137	GPL8856
GSE17208	GPL8888
GSE11263	GPL6782
GSE71603	GPL8888
GSE10792	GPL570
GSE10792	GPL2004
GSE10792	GPL2005
GSE16599	GPL8581
GSE16606	GPL8581
GSE49324	GPL9777
GSE1716	GPL96
GSE1716	GPL1424
GSE16125	GPL3718
GSE16125	GPL5175
GSE59150	GPL16131
GSE9109	GPL2004
GSE9109	GPL2005
GSE9109	GPL3718
GSE9109	GPL3720
GSE10600	GPL6514
GSE8695	GPL4999
GSE42525	GPL6801
GSE16664	GPL8720
GSE45477	GPL8736
GSE76339	GPL8887
GSE76339	GPL8888
GSE10699	GPL2827
GSE54354	GPL10150
GSE63216	GPL8687
GSE63216	GPL16694
GSE6538	GPL3888
GSE6538	GPL3893
GSE16019	GPL6979
GSE16019	GPL6980
GSE5359	GPL3960
GSE18252	GPL2004
GSE18252	GPL2005
GSE54504	GPL16131
GSE13696	GPL2004
GSE13696	GPL2005
GSE14823	GPL8175
GSE17715	GPL8687
GSE18799	GPL6980
GSE18932	GPL3718
GSE19000	GPL5114
GSE19000	GPL10304
GSE19000	GPL19387
GSE19189	GPL6985
GSE19399	GPL3720
GSE19349	GPL8887
GSE19449	GPL570
GSE19449	GPL2005
GSE19852	GPL4091
GSE19318	GPL9314
GSE19318	GPL9944
GSE19996	GPL3718
GSE19996	GPL3720
GSE20239	GPL4091
GSE2681	GPL2030
GSE20356	GPL3718
GSE20356	GPL3720
GSE20574	GPL9128
GSE20691	GPL10150
GSE21057	GPL3718
GSE21057	GPL3720
GSE21168	GPL8882
GSE21420	GPL4091
GSE22082	GPL3720
GSE21732	GPL3718
GSE22208	GPL6801
GSE22785	GPL6480
GSE22785	GPL9128
GSE22916	GPL7313
GSE40364	GPL570
GSE40364	GPL6804
GSE23540	GPL4093
GSE23540	GPL10123
GSE16746	GPL96
GSE16746	GPL3718
GSE24245	GPL6988
GSE24328	GPL4091
GSE24412	GPL3718
GSE24412	GPL3720
GSE25116	GPL11157
GSE25201	GPL8856
GSE26173	GPL6801
GSE26301	GPL6801
GSE27145	GPL6801
GSE27852	GPL6982
GSE27852	GPL8887
GSE25893	GPL3718
GSE25893	GPL4091
GSE25893	GPL6801
GSE25893	GPL6944
GSE25893	GPL6945
GSE25893	GPL6983
GSE25893	GPL6987
GSE25893	GPL8736
GSE25893	GPL8882
GSE25893	GPL8888
GSE25893	GPL9973
GSE25893	GPL13314
GSE25893	GPL13331
GSE25893	GPL13787
GSE28132	GPL6801
GSE28403	GPL570
GSE28403	GPL2873
GSE28403	GPL2879
GSE28403	GPL7182
GSE28732	GPL4093
GSE28868	GPL4093
GSE29062	GPL6801
GSE29374	GPL13611
GSE29398	GPL6984
GSE3281	GPL180
GSE3281	GPL2830
GSE30255	GPL3720
GSE30291	GPL13786
GSE30300	GPL6801
GSE30319	GPL2004
GSE30319	GPL2005
GSE31219	GPL9128
GSE31339	GPL6801
GSE31483	GPL6986
GSE32204	GPL8887
GSE32258	GPL6801
GSE32264	GPL3718
GSE32264	GPL3720
GSE32233	GPL6848
GSE32233	GPL8841
GSE32233	GPL9081
GSE26232	GPL6801
GSE32711	GPL8855
GSE33117	GPL8841
GSE34280	GPL6801
GSE34754	GPL3718
GSE34816	GPL4091
GSE35064	GPL6986
GSE35064	GPL8887
GSE36459	GPL3720
GSE36950	GPL6801
GSE36986	GPL10197
GSE38071	GPL3720
GSE39332	GPL8856
GSE39332	GPL13829
GSE39076	GPL3718
GSE39076	GPL3720
GSE39076	GPL6801
GSE40641	GPL10197
GSE39663	GPL10123
GSE38229	GPL10123
GSE38207	GPL8882
GSE4354	GPL3514
GSE4070	GPL3254
GSE4070	GPL3271
GSE65777	GPL6801
GSE75284	GPL6801
GSE74839	GPL9128
GSE90928	GPL4091
GSE92647	GPL4091
GSE93692	GPL6984
GSE93692	GPL18900
GSE93692	GPL20333
GSE93692	GPL22924
GSE55628	GPL6244
GSE55628	GPL6801
GSE84810	GPL16131
GSE99124	GPL13829
GSE99124	GPL21168
GSE59546	GPL8888
GSE18259	GPL6737
GSE14959	GPL4091
GSE10524	GPL570
GSE10524	GPL4012
GSE13914	GPL7778
GSE13914	GPL7779
GSE13914	GPL7780
GSE13914	GPL7781
GSE13914	GPL7782
GSE13914	GPL7783
GSE13914	GPL7784
GSE71538	GPL10152
GSE73899	GPL9777
GSE10922	GPL2005
GSE58951	GPL6801
GSE14819	GPL8175
GSE9193	GPL2043
GSE9193	GPL2616
GSE8043	GPL3320
GSE8043	GPL3334
GSE8043	GPL3355
GSE8043	GPL3428
GSE8043	GPL3526
GSE8043	GPL5362
GSE8043	GPL5363
GSE8043	GPL5364
GSE17122	GPL8856
GSE52641	GPL8841
GSE12906	GPL2004
GSE12906	GPL2005
GSE12906	GPL3718
GSE12906	GPL3720
GSE42377	GPL8687
GSE42624	GPL3718
GSE42624	GPL3720
GSE42624	GPL6801
GSE8567	GPL2005
GSE44434	GPL3718
GSE11411	GPL4091
GSE10099	GPL2004
GSE10099	GPL2005
GSE10197	GPL6382
GSE22305	GPL6801
GSE51538	GPL3718
GSE58342	GPL9128
GSE17121	GPL8856
GSE42487	GPL8882
GSE21672	GPL3720
GSE21025	GPL10150
GSE21228	GPL6801
GSE52250	GPL5477
GSE11976	GPL6986
GSE19578	GPL570
GSE19578	GPL3718
GSE19578	GPL3720
GSE9635	GPL2004
GSE9635	GPL2005
GSE20393	GPL9128
GSE60067	GPL10123
GSE16669	GPL8720
GSE62215	GPL6801
GSE45185	GPL6801
GSE73513	GPL5477
GSE73513	GPL11358
GSE73513	GPL20960
GSE64462	GPL9777
GSE5138	GPL3443
GSE67930	GPL6801
GSE42482	GPL16110
GSE64110	GPL4091
GSE10917	GPL6639
GSE55230	GPL13135
GSE8778	GPL3895
GSE43933	GPL16573
GSE19915	GPL3883
GSE19915	GPL4723
GSE19915	GPL5186
GSE20492	GPL8971
GSE43902	GPL13829
GSE54303	GPL18197
GSE8271	GPL2004
GSE8271	GPL2005
GSE8271	GPL4866
GSE19388	GPL3720
GSE14248	GPL3718
GSE67818	GPL16707
GSE11109	GPL2879
GSE47633	GPL8855
GSE67405	GPL6801
GSE57201	GPL16694
GSE57201	GPL18628
GSE47620	GPL6983
GSE60909	GPL13829
GSE63035	GPL10150
GSE55586	GPL13135
GSE9154	GPL3720
GSE50573	GPL16131
GSE2258	GPL1855
GSE64765	GPL16237
GSE4860	GPL3778
GSE4860	GPL3780
GSE17958	GPL3720
GSE42854	GPL3718
GSE42854	GPL3720
GSE42854	GPL8736
GSE10878	GPL2879
GSE10878	GPL6480
GSE50253	GPL6801
GSE16601	GPL8581
GSE55175	GPL13135
GSE59631	GPL10150
GSE17201	GPL8882
GSE54993	GPL8736
GSE5082	GPL1266
GSE56425	GPL16694
GSE16607	GPL8581
GSE13565	GPL6980
GSE13565	GPL7626
GSE13565	GPL7629
GSE13565	GPL7630
GSE19101	GPL2004
GSE19101	GPL2005
GSE19101	GPL3718
GSE19101	GPL3720
GSE50495	GPL15793
GSE51158	GPL8888
GSE54080	GPL11358
GSE17095	GPL8856
GSE11782	GPL2641
GSE67460	GPL6801
GSE67460	GPL16131
GSE14994	GPL3720
GSE14994	GPL3921
GSE60625	GPL17052
GSE19730	GPL9852
GSE65304	GPL4093
GSE65304	GPL10123
GSE13191	GPL2819
GSE13191	GPL3055
GSE44974	GPL13829
GSE13282	GPL6982
GSE85701	GPL9777
GSE63236	GPL3718
GSE6779	GPL4723
GSE60507	GPL4421
GSE63784	GPL6801
GSE18797	GPL3720
GSE53799	GPL16131
GSE8653	GPL3320
GSE8653	GPL3334
GSE8653	GPL3355
GSE8653	GPL3428
GSE8653	GPL3526
GSE8653	GPL5697
GSE8653	GPL5698
GSE8653	GPL5699
GSE16894	GPL6984
GSE89982	GPL10123
GSE20584	GPL6801
GSE21958	GPL8887
GSE8736	GPL5685
GSE15264	GPL6801
GSE16092	GPL3718
GSE22429	GPL8971
GSE61502	GPL8882
GSE61502	GPL16104
GSE15695	GPL570
GSE15695	GPL3718
GSE15695	GPL3720
GSE12494	GPL2004
GSE12494	GPL2005
GSE12494	GPL3718
GSE19180	GPL2879
GSE5121	GPL3895
GSE45478	GPL4093
GSE18626	GPL4560
GSE75093	GPL13829
GSE41875	GPL8841
GSE10132	GPL6359
GSE16665	GPL8720
GSE48064	GPL6801
GSE14579	GPL2004
GSE14579	GPL2005
GSE16598	GPL8581
GSE22494	GPL8887
GSE22494	GPL8888
GSE22524	GPL4723
GSE22673	GPL5477
GSE22965	GPL6801
GSE22965	GPL6884
GSE23065	GPL10123
GSE23891	GPL2879
GSE23891	GPL5477
GSE24216	GPL4091
GSE24452	GPL5477
GSE24698	GPL4723
GSE25170	GPL3720
GSE25228	GPL10123
GSE25273	GPL4091
GSE26105	GPL8887
GSE26302	GPL6801
GSE26447	GPL9075
GSE26534	GPL9041
GSE26674	GPL6801
GSE27193	GPL8887
GSE27193	GPL8888
GSE27511	GPL6359
GSE27636	GPL13244
GSE29283	GPL6801
GSE3264	GPL2819
GSE3264	GPL2826
GSE3264	GPL2827
GSE3264	GPL2834
GSE3264	GPL2842
GSE3264	GPL2843
GSE3264	GPL2851
GSE3264	GPL2858
GSE3264	GPL3054
GSE3264	GPL3055
GSE3264	GPL3056
GSE29953	GPL7780
GSE29953	GPL9073
GSE30120	GPL10197
GSE32291	GPL4091
GSE32578	GPL4723
GSE32578	GPL7247
GSE32649	GPL6986
GSE32649	GPL13135
GSE33153	GPL6801
GSE33326	GPL8856
GSE20306	GPL3720
GSE34005	GPL3718
GSE34005	GPL3720
GSE34236	GPL4091
GSE34484	GPL10123
GSE34678	GPL8887
GSE34678	GPL13829
GSE34888	GPL6985
GSE34982	GPL6884
GSE34982	GPL8882
GSE34982	GPL13534
GSE35656	GPL3718
GSE35656	GPL6801
GSE35991	GPL6801
GSE36311	GPL6801
GSE36889	GPL885
GSE36889	GPL887
GSE36889	GPL1197
GSE36889	GPL1390
GSE36889	GPL1708
GSE36889	GPL5325
GSE36889	GPL8269
GSE36889	GPL15359
GSE36864	GPL8687
GSE64572	GPL6984
GSE38787	GPL6801
GSE40159	GPL13190
GSE4303	GPL2937
GSE4303	GPL2938
GSE4303	GPL3254
GSE4303	GPL3288
GSE4303	GPL3289
GSE4303	GPL3290
GSE4303	GPL3335
GSE4421	GPL1283
GSE4421	GPL2696
GSE4421	GPL3273
GSE4421	GPL3289
GSE4421	GPL3347
GSE4421	GPL3355
GSE93886	GPL16131
GSE99090	GPL6982
GSE99090	GPL18900
GSE99090	GPL20333
GSE77603	GPL17641
GSE26075	GPL2004
GSE26075	GPL2005
GSE26075	GPL3718
GSE26075	GPL3720
GSE24282	GPL4091
GSE67271	GPL6801
GSE68717	GPL6801
GSE19539	GPL6244
GSE19539	GPL6801
GSE14670	GPL2641
GSE14670	GPL3718
GSE47498	GPL13829
GSE50407	GPL17641
GSE45565	GPL6801
GSE41813	GPL4126
GSE41813	GPL5477
GSE41813	GPL10123
GSE26576	GPL570
GSE26576	GPL6801
GSE28910	GPL6801
GSE58694	GPL16131
GSE41990	GPL16237
GSE45354	GPL10152
GSE19986	GPL6984
GSE19986	GPL9442
GSE72209	GPL16131
GSE8606	GPL5000
GSE8606	GPL5114
GSE47682	GPL2004
GSE47682	GPL2005
GSE47682	GPL3718
GSE16605	GPL8581
GSE20483	GPL9077
GSE17595	GPL1266
GSE17595	GPL2641
GSE20206	GPL3718
GSE20206	GPL3720
GSE20206	GPL6801
GSE20123	GPL3718
GSE20123	GPL3720
GSE29023	GPL570
GSE29023	GPL4091
GSE73190	GPL8855
GSE60457	GPL10152
GSE17197	GPL8882
GSE27332	GPL13177
GSE69614	GPL6801
GSE46284	GPL11358
GSE29711	GPL8736
GSE10092	GPL3718
GSE49280	GPL8490
GSE49280	GPL8887
GSE49280	GPL11154
GSE49280	GPL13135
GSE49280	GPL16686
GSE49280	GPL17913
GSE85466	GPL6801
GSE21660	GPL4091
GSE75671	GPL16707
GSE75671	GPL19947
GSE19566	GPL9128
GSE65312	GPL8855
GSE26494	GPL8971
GSE26494	GPL9715
GSE26494	GPL11633
GSE26494	GPL11634
GSE26494	GPL11635
GSE28601	GPL5477
GSE14353	GPL8036
GSE9205	GPL5620
GSE18828	GPL3718
GSE18828	GPL6801
GSE10128	GPL5772
GSE23201	GPL6801
GSE27399	GPL3718
GSE6448	GPL3632
GSE73119	GPL10150
GSE29143	GPL13508
GSE54691	GPL8737
GSE22047	GPL570
GSE22047	GPL6804
GSE58886	GPL9128
GSE81738	GPL6801
GSE7603	GPL2879
GSE7603	GPL4091
GSE14743	GPL8036
GSE52366	GPL10150
GSE73199	GPL10123
GSE61134	GPL10152
GSE14109	GPL2873
GSE14109	GPL5477
GSE28450	GPL10123
GSE17047	GPL6848
GSE17047	GPL8693
GSE17047	GPL8841
GSE17047	GPL10197
GSE7383	GPL2043
GSE7383	GPL2735
GSE52654	GPL3718
GSE51272	GPL6984
GSE51272	GPL13314
GSE51272	GPL14157
GSE51272	GPL17783
GSE27671	GPL10123
GSE16667	GPL8720
GSE23300	GPL6801
GSE8521	GPL5620
GSE40954	GPL2790
GSE40954	GPL3114
GSE40954	GPL3314
GSE40954	GPL3341
GSE40954	GPL8650
GSE49614	GPL17539
GSE1464	GPL1282
GSE1464	GPL1283
GSE1464	GPL1709
GSE1464	GPL1710
GSE1464	GPL1711
GSE40834	GPL16050
GSE48297	GPL9075
GSE64597	GPL10123
GSE64597	GPL19385
GSE63428	GPL13190
GSE63428	GPL14965
GSE63428	GPL15651
GSE63428	GPL18318
GSE20284	GPL6983
GSE57176	GPL10123
GSE19159	GPL9715
GSE29211	GPL96
GSE29211	GPL3718
GSE29211	GPL9128
GSE50136	GPL6986
GSE40099	GPL6480
GSE40099	GPL8490
GSE40099	GPL8774
GSE74633	GPL8687
GSE42056	GPL6801
GSE43272	GPL15436
GSE8798	GPL2005
GSE8798	GPL5749
GSE8798	GPL5750
GSE73791	GPL6801
GSE75349	GPL6801
GSE70782	GPL17052
GSE78808	GPL16131
GSE47701	GPL9777
GSE61594	GPL16131
GSE24546	GPL5082
GSE24546	GPL6801
GSE24546	GPL9115
GSE67385	GPL3718
GSE26800	GPL8841
GSE18964	GPL3718
GSE16575	GPL8693
GSE40787	GPL3720
GSE48835	GPL16707
GSE85594	GPL6801
GSE71522	GPL6801
GSE21554	GPL570
GSE21554	GPL8490
GSE21554	GPL10383
GSE20672	GPL6801
GSE14960	GPL3718
GSE61769	GPL6801
GSE58512	GPL10123
GSE75088	GPL13829
GSE56654	GPL9128
GSE16384	GPL8634
GSE10456	GPL6478
GSE53234	GPL16694
GSE59298	GPL15207
GSE59298	GPL16131
GSE11960	GPL3718
GSE11960	GPL3720
GSE42040	GPL570
GSE42040	GPL6801
GSE15826	GPL6801
GSE45495	GPL10558
GSE45495	GPL15436
GSE45495	GPL16869
GSE69382	GPL18636
GSE59244	GPL6801
GSE6469	GPL4639
GSE6469	GPL4640
GSE58793	GPL16131
GSE11275	GPL2043
GSE11275	GPL2616
GSE16603	GPL8581
GSE62875	GPL6801
GSE62907	GPL6801
GSE62907	GPL11154
GSE62907	GPL16791
GSE48190	GPL6801
GSE20565	GPL570
GSE20565	GPL2005
GSE20565	GPL6801
GSE29772	GPL6801
GSE29996	GPL6801
GSE30121	GPL8687
GSE31035	GPL13829
GSE31203	GPL13904
GSE31203	GPL13905
GSE31203	GPL13906
GSE31203	GPL13907
GSE32058	GPL2879
GSE32101	GPL3718
GSE32101	GPL3720
GSE32462	GPL6801
GSE32969	GPL6102
GSE32969	GPL6982
GSE33053	GPL4091
GSE32414	GPL6480
GSE32414	GPL10123
GSE33249	GPL14791
GSE33355	GPL6801
GSE33685	GPL10152
GSE33732	GPL3718
GSE33732	GPL3720
GSE33983	GPL8736
GSE34174	GPL4091
GSE34174	GPL8490
GSE34211	GPL570
GSE34211	GPL6801
GSE34258	GPL3718
GSE34258	GPL6801
GSE34467	GPL6984
GSE34467	GPL8888
GSE34472	GPL8841
GSE34573	GPL570
GSE34573	GPL3718
GSE34573	GPL3720
GSE35023	GPL6988
GSE35099	GPL3718
GSE35099	GPL3720
GSE35329	GPL2005
GSE35329	GPL3718
GSE35329	GPL3720
GSE35367	GPL3868
GSE35367	GPL3869
GSE35367	GPL15168
GSE35783	GPL3522
GSE35783	GPL3523
GSE35783	GPL3524
GSE35783	GPL3528
GSE3898	GPL1506
GSE36438	GPL3720
GSE36822	GPL4091
GSE3980	GPL1448
GSE3980	GPL3310
GSE37142	GPL13314
GSE39367	GPL6801
GSE39793	GPL2004
GSE39793	GPL2005
GSE4079	GPL3381
GSE4079	GPL3382
GSE4079	GPL3383
GSE95496	GPL6801
GSE50897	GPL10123
GSE67965	GPL6801
GSE95085	GPL16131
GSE96884	GPL16131
